,original_word,tokenized_by_bert
8359,"pré
",['pre']
8360,"##tation
","['#', '#', 'ta', '##tion']"
8361,"suppress
",['suppress']
8362,"oll
","['ol', '##l']"
8363,"##ivi
","['#', '#', 'iv', '##i']"
8364,"implement
",['implement']
8365,"suit
",['suit']
8366,"coll
","['col', '##l']"
8367,"ok
",['ok']
8368,"##nx
","['#', '#', 'n', '##x']"
8369,"denen
","['den', '##en']"
8370,"circle
",['circle']
8371,"assured
",['assured']
8372,"fhe
","['f', '##he']"
8373,"##idae
","['#', '#', 'ida', '##e']"
8374,"intensive
",['intensive']
8375,"algebraic
",['algebraic']
8376,"dispositif
","['di', '##sp', '##osi', '##ti', '##f']"
8377,"unperturbed
","['un', '##per', '##tur', '##bed']"
8378,"hewlett
","['he', '##wl', '##ett']"
8379,"orthorhombic
","['or', '##thor', '##hom', '##bic']"
8380,"##ight
","['#', '#', 'i', '##ght']"
8381,"diffractometer
","['di', '##ff', '##rac', '##tom', '##eter']"
8382,"photoelectron
","['photo', '##ele', '##ct', '##ron']"
8383,"rotatable
","['rot', '##atable']"
8384,"pvp
","['pv', '##p']"
8385,"cloud
",['cloud']
8386,"blood
",['blood']
8387,"narasimhan
","['nara', '##si', '##m', '##han']"
8388,"experimentation
",['experimentation']
8389,"expert
",['expert']
8390,"lecture
",['lecture']
8391,"abstandshalter
","['abs', '##tan', '##ds', '##hal', '##ter']"
8392,"thermalfatigue
","['thermal', '##fat', '##ig', '##ue']"
8393,"perturbed
","['per', '##tur', '##bed']"
8394,"sharing
",['sharing']
8395,"tetrahedral
","['te', '##tra', '##hedral']"
8396,"fiss
","['fis', '##s']"
8397,"##hes
","['#', '#', 'he', '##s']"
8398,"##loy
","['#', '#', 'lo', '##y']"
8399,"wh
","['w', '##h']"
8400,"gem
",['gem']
8401,"##var
","['#', '#', 'var']"
8402,"onin
","['on', '##in']"
8403,"shop
",['shop']
8404,"nanostructures
","['nano', '##st', '##ru', '##cture', '##s']"
8405,"fred
",['fred']
8406,"carriers
",['carriers']
8407,"##seq
","['#', '#', 'se', '##q']"
8408,"anp
","['an', '##p']"
8409,"rit
","['ri', '##t']"
8410,"interacting
",['interacting']
8411,"##resistant
","['#', '#', 'resistant']"
8412,"discs
",['discs']
8413,"##particle
","['#', '#', 'particle']"
8414,"transfers
",['transfers']
8415,"reductions
",['reductions']
8416,"##dichte
","['#', '#', 'di', '##cht', '##e']"
8417,"dal
",['dal']
8418,"##hocth
","['#', '#', 'hoc', '##th']"
8419,"spc
","['sp', '##c']"
8420,"autres
","['au', '##tres']"
8421,"##hnx
","['#', '#', 'h', '##nx']"
8422,"concentrate
",['concentrate']
8423,"woa
","['wo', '##a']"
8424,"programm
","['program', '##m']"
8425,"corresponded
",['corresponded']
8426,"ui
",['ui']
8427,"silicate
","['si', '##lica', '##te']"
8428,"##shi
","['#', '#', 'shi']"
8429,"submerged
",['submerged']
8430,"sandwich
",['sandwich']
8431,"premier
",['premier']
8432,"epithermal
","['ep', '##ith', '##er', '##mal']"
8433,"straightforward
",['straightforward']
8434,"radiolytic
","['radio', '##ly', '##tic']"
8435,"biomolecular
","['bio', '##mo', '##le', '##cular']"
8436,"rhometer
","['r', '##hom', '##eter']"
8437,"reaktorkern
","['re', '##ak', '##tor', '##ker', '##n']"
8438,"vault
",['vault']
8439,"grainboundary
","['grain', '##bound', '##ary']"
8440,"ascribed
",['ascribed']
8441,"visualization
","['visual', '##ization']"
8442,"systematically
",['systematically']
8443,"recirculating
","['rec', '##ir', '##cula', '##ting']"
8444,"exclusive
",['exclusive']
8445,"oan
","['o', '##an']"
8446,"##uas
","['#', '#', 'ua', '##s']"
8447,"penetrant
","['pen', '##et', '##rant']"
8448,"emp
","['em', '##p']"
8449,"einsatz
","['ein', '##sat', '##z']"
8450,"##lf
","['#', '#', 'l', '##f']"
8451,"##oga
","['#', '#', 'og', '##a']"
8452,"rose
",['rose']
8453,"zen
",['zen']
8454,"agr
","['ag', '##r']"
8455,"uz
","['u', '##z']"
8456,"##uni
","['#', '#', 'un', '##i']"
8457,"mating
",['mating']
8458,"republic
",['republic']
8459,"vaporized
","['vapor', '##ized']"
8460,"challenges
",['challenges']
8461,"ange
","['ang', '##e']"
8462,"housed
",['housed']
8463,"us
",['us']
8464,"selfshield
","['self', '##shi', '##eld']"
8465,"##sk
","['#', '#', 'sk']"
8466,"precautions
",['precautions']
8467,"brings
",['brings']
8468,"nea
","['ne', '##a']"
8469,"##vol
","['#', '#', 'vol']"
8470,"##wod
","['#', '#', 'wo', '##d']"
8471,"obtainable
","['obtain', '##able']"
8472,"##ides
","['#', '#', 'id', '##es']"
8473,"iode
","['io', '##de']"
8474,"rinse
","['ri', '##nse']"
8475,"kor
","['ko', '##r']"
8476,"licl
","['li', '##cl']"
8477,"inserting
","['insert', '##ing']"
8478,"otz
","['ot', '##z']"
8479,"uoti
","['u', '##ot', '##i']"
8480,"cru
","['cr', '##u']"
8481,"##nw
","['#', '#', 'nw']"
8482,"equ
","['e', '##qu']"
8483,"dat
",['dat']
8484,"konstruktive
","['ko', '##nst', '##ru', '##kti', '##ve']"
8485,"substances
",['substances']
8486,"##zed
","['#', '#', 'ze', '##d']"
8487,"##mol
","['#', '#', 'mo', '##l']"
8488,"crucibles
","['cr', '##ucible', '##s']"
8489,"aia
","['ai', '##a']"
8490,"labor
",['labor']
8491,"ensur
","['en', '##sur']"
8492,"crystallites
","['crystal', '##lite', '##s']"
8493,"yc
","['y', '##c']"
8494,"sept
",['sept']
8495,"correspondingly
","['corresponding', '##ly']"
8496,"aircraft
",['aircraft']
8497,"equiaxed
","['e', '##qui', '##ax', '##ed']"
8498,"gemessen
","['gem', '##ess', '##en']"
8499,"isochronal
","['iso', '##ch', '##rona', '##l']"
8500,"netherlands
",['netherlands']
8501,"##cyclotron
","['#', '#', 'cy', '##cl', '##ot', '##ron']"
8502,"pressurizing
","['press', '##uri', '##zing']"
8503,"erreichen
","['er', '##re', '##iche', '##n']"
8504,"freezeseal
","['freeze', '##sea', '##l']"
8505,"mismatch
","['mis', '##mat', '##ch']"
8506,"pivot
","['pi', '##vot']"
8507,"invariant
",['invariant']
8508,"comlocatemse
","['com', '##lo', '##cate', '##ms', '##e']"
8509,"heifidampf
","['he', '##if', '##ida', '##mp', '##f']"
8510,"granular
","['gran', '##ular']"
8511,"scrap
",['scrap']
8512,"compressibility
","['com', '##press', '##ibility']"
8513,"flooding
",['flooding']
8514,"delhi
",['delhi']
8515,"gré
","['gr', '##e']"
8516,"coeur
","['coe', '##ur']"
8517,"psp
","['ps', '##p']"
8518,"##ometric
","['#', '#', 'om', '##et', '##ric']"
8519,"trials
",['trials']
8520,"##analyse
","['#', '#', 'anal', '##yse']"
8521,"bey
",['bey']
8522,"systemdruck
","['system', '##dr', '##uck']"
8523,"aud
","['au', '##d']"
8524,"wig
",['wig']
8525,"amine
","['amin', '##e']"
8526,"hope
",['hope']
8527,"aufbau
","['auf', '##bau']"
8528,"instrum
","['ins', '##trum']"
8529,"rand
",['rand']
8530,"delays
",['delays']
8531,"##ccc
","['#', '#', 'cc', '##c']"
8532,"ih
","['i', '##h']"
8533,"evidenced
",['evidenced']
8534,"bolted
",['bolted']
8535,"conductors
",['conductors']
8536,"##iag
","['#', '#', 'ia', '##g']"
8537,"null
",['null']
8538,"pis
","['pi', '##s']"
8539,"poi
","['po', '##i']"
8540,"punched
",['punched']
8541,"stm
","['st', '##m']"
8542,"ysu
","['y', '##su']"
8543,"bn
",['bn']
8544,"liegen
","['liege', '##n']"
8545,"bla
","['b', '##la']"
8546,"ich
",['ich']
8547,"##tv
","['#', '#', 'tv']"
8548,"problémes
","['problem', '##es']"
8549,"##ency
","['#', '#', 'en', '##cy']"
8550,"##ically
","['#', '#', 'ic', '##ally']"
8551,"orn
","['or', '##n']"
8552,"regulate
",['regulate']
8553,"mie
","['mi', '##e']"
8554,"gri
","['gr', '##i']"
8555,"##sut
","['#', '#', 'su', '##t']"
8556,"megawatt
","['mega', '##wat', '##t']"
8557,"##ssi
","['#', '#', 'ss', '##i']"
8558,"##dwod
","['#', '#', 'd', '##wo', '##d']"
8559,"adverse
",['adverse']
8560,"ohms
","['oh', '##ms']"
8561,"##bre
","['#', '#', 'br', '##e']"
8562,"emissions
",['emissions']
8563,"consistently
",['consistently']
8564,"pursu
","['pu', '##rs', '##u']"
8565,"teot
","['te', '##ot']"
8566,"werkstoff
","['we', '##rks', '##to', '##ff']"
8567,"carriage
",['carriage']
8568,"challenging
",['challenging']
8569,"optimizing
","['opt', '##imi', '##zing']"
8570,"résumé
",['resume']
8571,"sowohl
","['so', '##wo', '##hl']"
8572,"catastrophic
",['catastrophic']
8573,"quadrature
","['quad', '##rat', '##ure']"
8574,"designers
",['designers']
8575,"coalescence
","['coal', '##escence']"
8576,"peuvent
","['pe', '##uven', '##t']"
8577,"lbhr
","['lb', '##hr']"
8578,"gts
","['gt', '##s']"
8579,"evans
",['evans']
8580,"blockages
","['block', '##ages']"
8581,"ire
","['ir', '##e']"
8582,"homogenized
","['homo', '##gen', '##ized']"
8583,"rey
",['rey']
8584,"##bf
","['#', '#', 'bf']"
8585,"firstorder
","['first', '##ord', '##er']"
8586,"sna
","['s', '##na']"
8587,"inspections
",['inspections']
8588,"diagonal
",['diagonal']
8589,"##ria
","['#', '#', 'ri', '##a']"
8590,"rgo
","['r', '##go']"
8591,"els
","['el', '##s']"
8592,"multiplying
","['multi', '##ply', '##ing']"
8593,"contraction
",['contraction']
8594,"versions
",['versions']
8595,"fec
","['fe', '##c']"
8596,"##eurs
","['#', '#', 'eu', '##rs']"
8597,"##raum
","['#', '#', 'ra', '##um']"
8598,"nh
",['nh']
8599,"##component
","['#', '#', 'component']"
8600,"grant
",['grant']
8601,"##rag
","['#', '#', 'rag']"
8602,"##ometry
","['#', '#', 'om', '##et', '##ry']"
8603,"institution
",['institution']
8604,"originat
","['origin', '##at']"
8605,"##mmm
","['#', '#', 'mmm']"
8606,"tuning
",['tuning']
8607,"zon
","['z', '##on']"
8608,"mov
","['mo', '##v']"
8609,"sharply
",['sharply']
8610,"dist
","['di', '##st']"
8611,"##nm
","['#', '#', 'nm']"
8612,"suite
",['suite']
8613,"bai
",['bai']
8614,"##leitungen
","['#', '#', 'lei', '##tung', '##en']"
8615,"inspect
",['inspect']
8616,"##mé
","['#', '#', 'me']"
8617,"arrest
",['arrest']
8618,"gett
","['get', '##t']"
8619,"yttria
","['y', '##tt', '##ria']"
8620,"##erg
","['#', '#', 'er', '##g']"
8621,"spontaneous
",['spontaneous']
8622,"##atio
","['#', '#', 'at', '##io']"
8623,"##year
","['#', '#', 'year']"
8624,"wnt
","['w', '##nt']"
8625,"dd
",['dd']
8626,"nominally
",['nominally']
8627,"pare
","['par', '##e']"
8628,"ebenfalls
","['e', '##ben', '##falls']"
8629,"versatile
",['versatile']
8630,"dargestellt
","['dar', '##ges', '##tell', '##t']"
8631,"kgs
","['kg', '##s']"
8632,"samuel
",['samuel']
8633,"##ector
","['#', '#', 'ec', '##tor']"
8634,"unaffected
",['unaffected']
8635,"matériaux
","['mater', '##ia', '##ux']"
8636,"participation
",['participation']
8637,"favourable
",['favourable']
8638,"plugged
","['plug', '##ged']"
8639,"unacceptable
",['unacceptable']
8640,"shortterm
","['short', '##ter', '##m']"
8641,"compiled
",['compiled']
8642,"générateurs
","['generate', '##urs']"
8643,"sortie
","['sort', '##ie']"
8644,"superalloys
","['super', '##all', '##oys']"
8645,"lig
","['li', '##g']"
8646,"##mot
","['#', '#', 'mo', '##t']"
8647,"coolants
","['cool', '##ants']"
8648,"ethylene
","['et', '##hyl', '##ene']"
8649,"alloyed
","['alloy', '##ed']"
8650,"spiked
",['spiked']
8651,"daily
",['daily']
8652,"sof
","['so', '##f']"
8653,"accomplishment
",['accomplishment']
8654,"ath
","['at', '##h']"
8655,"sustained
",['sustained']
8656,"nest
",['nest']
8657,"topics
",['topics']
8658,"alarms
",['alarms']
8659,"squares
",['squares']
8660,"moe
",['moe']
8661,"occasional
",['occasional']
8662,"rsc
","['rs', '##c']"
8663,"eur
","['eu', '##r']"
8664,"##electron
","['#', '#', 'electron']"
8665,"strips
",['strips']
8666,"actuate
","['act', '##uate']"
8667,"dew
",['dew']
8668,"demonstrat
","['demons', '##tra', '##t']"
8669,"pae
","['pa', '##e']"
8670,"reactants
","['react', '##ants']"
8671,"krishna
",['krishna']
8672,"dei
",['dei']
8673,"governments
",['governments']
8674,"ros
","['ro', '##s']"
8675,"##typ
","['#', '#', 'ty', '##p']"
8676,"cv
",['cv']
8677,"partir
","['part', '##ir']"
8678,"##aaa
","['#', '#', 'aaa']"
8679,"editor
",['editor']
8680,"arrow
",['arrow']
8681,"dell
",['dell']
8682,"##mr
","['#', '#', 'mr']"
8683,"multilayers
","['multi', '##layer', '##s']"
8684,"jua
","['ju', '##a']"
8685,"wey
","['we', '##y']"
8686,"##idad
","['#', '#', 'ida', '##d']"
8687,"bac
","['ba', '##c']"
8688,"nahe
","['nah', '##e']"
8689,"campaign
",['campaign']
8690,"sorbent
","['so', '##rb', '##ent']"
8691,"topography
",['topography']
8692,"worldwide
",['worldwide']
8693,"scroll
",['scroll']
8694,"oxford
",['oxford']
8695,"aor
","['ao', '##r']"
8696,"inhibitor
",['inhibitor']
8697,"campus
",['campus']
8698,"fgm
","['f', '##gm']"
8699,"##temperaturen
","['#', '#', 'temperature', '##n']"
8700,"coldleg
","['cold', '##leg']"
8701,"squ
","['sq', '##u']"
8702,"sree
","['sr', '##ee']"
8703,"kerns
","['kern', '##s']"
8704,"swa
","['sw', '##a']"
8705,"oel
","['o', '##el']"
8706,"setpoint
","['set', '##point']"
8707,"reheat
","['re', '##hea', '##t']"
8708,"##ular
","['#', '#', 'ul', '##ar']"
8709,"yb
","['y', '##b']"
8710,"lowlevel
","['low', '##lev', '##el']"
8711,"unterschiedlich
","['un', '##ters', '##chi', '##ed', '##lich']"
8712,"##rig
","['#', '#', 'rig']"
8713,"##naval
","['#', '#', 'naval']"
8714,"nac
","['na', '##c']"
8715,"##carbon
","['#', '#', 'carbon']"
8716,"##eal
","['#', '#', 'ea', '##l']"
8717,"##rohr
","['#', '#', 'ro', '##hr']"
8718,"##sty
","['#', '#', 'st', '##y']"
8719,"##uay
","['#', '#', 'ua', '##y']"
8720,"silicide
","['si', '##lic', '##ide']"
8721,"pbf
","['p', '##bf']"
8722,"pid
","['pi', '##d']"
8723,"toc
","['to', '##c']"
8724,"##punkt
","['#', '#', 'punk', '##t']"
8725,"##matrix
","['#', '#', 'matrix']"
8726,"rr
",['rr']
8727,"og
",['og']
8728,"##cre
","['#', '#', 'cr', '##e']"
8729,"##more
","['#', '#', 'more']"
8730,"##ade
","['#', '#', 'ad', '##e']"
8731,"ets
","['et', '##s']"
8732,"##bei
","['#', '#', 'bei']"
8733,"argue
",['argue']
8734,"aed
","['ae', '##d']"
8735,"##gle
","['#', '#', 'g', '##le']"
8736,"toh
","['to', '##h']"
8737,"##turbine
","['#', '#', 'turbine']"
8738,"gew
","['ge', '##w']"
8739,"tru
","['tr', '##u']"
8740,"qo
","['q', '##o']"
8741,"dac
","['da', '##c']"
8742,"lanthanide
","['lan', '##than', '##ide']"
8743,"orbital
",['orbital']
8744,"hook
",['hook']
8745,"nie
","['ni', '##e']"
8746,"semiconductors
","['semiconductor', '##s']"
8747,"seq
","['se', '##q']"
8748,"family
",['family']
8749,"paramagnetic
","['para', '##ma', '##gne', '##tic']"
8750,"measurable
","['me', '##asurable']"
8751,"supervisor
",['supervisor']
8752,"diversity
",['diversity']
8753,"underground
",['underground']
8754,"toz
","['to', '##z']"
8755,"circulated
",['circulated']
8756,"drawers
",['drawers']
8757,"gegeben
","['ge', '##ge', '##ben']"
8758,"pka
","['p', '##ka']"
8759,"shoulder
",['shoulder']
8760,"##ech
","['#', '#', 'ec', '##h']"
8761,"venting
","['vent', '##ing']"
8762,"sir
",['sir']
8763,"pil
","['pi', '##l']"
8764,"##gang
","['#', '#', 'gang']"
8765,"orific
","['or', '##ific']"
8766,"##model
","['#', '#', 'model']"
8767,"##ona
","['#', '#', 'on', '##a']"
8768,"##aetca
","['#', '#', 'ae', '##tc', '##a']"
8769,"solutes
","['sol', '##ute', '##s']"
8770,"##liv
","['#', '#', 'liv']"
8771,"jo
",['jo']
8772,"viewing
",['viewing']
8773,"tone
",['tone']
8774,"gis
","['gi', '##s']"
8775,"slowing
",['slowing']
8776,"erg
","['er', '##g']"
8777,"##source
","['#', '#', 'source']"
8778,"gom
","['go', '##m']"
8779,"mic
",['mic']
8780,"hydrotest
","['hydro', '##test']"
8781,"switched
",['switched']
8782,"##oad
","['#', '#', 'o', '##ad']"
8783,"thu
","['th', '##u']"
8784,"preclude
","['pre', '##cl', '##ude']"
8785,"##ccscc
","['#', '#', 'cc', '##sc', '##c']"
8786,"paragraphs
","['paragraph', '##s']"
8787,"trips
",['trips']
8788,"grand
",['grand']
8789,"##win
","['#', '#', 'win']"
8790,"users
",['users']
8791,"##pet
","['#', '#', 'pet']"
8792,"arrhenius
","['ar', '##rh', '##eni', '##us']"
8793,"deleterious
","['del', '##eter', '##ious']"
8794,"karthik
","['ka', '##rth', '##ik']"
8795,"langmuir
","['lang', '##mu', '##ir']"
8796,"ultrasound
",['ultrasound']
8797,"angenommen
","['ang', '##eno', '##mme', '##n']"
8798,"scintillation
","['sci', '##nti', '##llation']"
8799,"eingesetzt
","['ein', '##ges', '##etz', '##t']"
8800,"letter
",['letter']
8801,"##steel
","['#', '#', 'steel']"
8802,"aco
","['ac', '##o']"
8803,"swi
","['sw', '##i']"
8804,"nig
","['ni', '##g']"
8805,"##tho
","['#', '#', 'tho']"
8806,"ndodecane
","['n', '##do', '##de', '##can', '##e']"
8807,"conceivable
","['con', '##ce', '##iva', '##ble']"
8808,"torch
",['torch']
8809,"validate
","['valid', '##ate']"
8810,"se
",['se']
8811,"donor
",['donor']
8812,"thicker
",['thicker']
8813,"lift
",['lift']
8814,"remarkabl
","['remark', '##ab', '##l']"
8815,"zn
","['z', '##n']"
8816,"weldability
","['we', '##lda', '##bility']"
8817,"grey
",['grey']
8818,"dosimetri
","['dos', '##ime', '##tri']"
8819,"want
",['want']
8820,"hr
",['hr']
8821,"yea
","['ye', '##a']"
8822,"##uid
","['#', '#', 'ui', '##d']"
8823,"ppb
","['pp', '##b']"
8824,"##eys
","['#', '#', 'e', '##ys']"
8825,"pon
","['po', '##n']"
8826,"utilis
","['ut', '##ilis']"
8827,"merge
",['merge']
8828,"existed
",['existed']
8829,"##isi
","['#', '#', 'is', '##i']"
8830,"microcracks
","['micro', '##cr', '##ack', '##s']"
8831,"classes
",['classes']
8832,"##ehua
","['#', '#', 'eh', '##ua']"
8833,"aur
","['au', '##r']"
8834,"##mark
","['#', '#', 'mark']"
8835,"divers
",['divers']
8836,"blow
",['blow']
8837,"cem
","['ce', '##m']"
8838,"converting
",['converting']
8839,"associate
",['associate']
8840,"entwicklung
","['en', '##t', '##wick', '##lun', '##g']"
8841,"gse
","['gs', '##e']"
8842,"king
",['king']
8843,"dopant
","['do', '##pan', '##t']"
8844,"##dos
","['#', '#', 'dos']"
8845,"imply
",['imply']
8846,"const
","['con', '##st']"
8847,"torsion
","['tor', '##sion']"
8848,"eigenvalues
","['e', '##igen', '##val', '##ues']"
8849,"prices
",['prices']
8850,"inadvertent
","['ina', '##d', '##vert', '##ent']"
8851,"releasing
",['releasing']
8852,"transpiration
","['trans', '##piration']"
8853,"aggressive
",['aggressive']
8854,"rtms
","['rt', '##ms']"
8855,"circumference
","['ci', '##rc', '##um', '##ference']"
8856,"ganesan
","['gan', '##esa', '##n']"
8857,"credit
",['credit']
8858,"shrinkage
","['shrink', '##age']"
8859,"uncd
","['un', '##cd']"
8860,"multiaxial
","['multi', '##ax', '##ial']"
8861,"bmimpf
","['b', '##mi', '##mp', '##f']"
8862,"recirculation
","['rec', '##ir', '##cula', '##tion']"
8863,"message
",['message']
8864,"tableau
","['table', '##au']"
8865,"intake
",['intake']
8866,"##dw
","['#', '#', 'd', '##w']"
8867,"longrange
","['long', '##rang', '##e']"
8868,"idealized
","['ideal', '##ized']"
8869,"inductance
","['ind', '##uc', '##tance']"
8870,"rahmen
","['ra', '##hm', '##en']"
8871,"inletleg
","['inlet', '##leg']"
8872,"cow
",['cow']
8873,"beispiel
","['bei', '##sp', '##iel']"
8874,"##kreislauf
","['#', '#', 'k', '##re', '##is', '##lau', '##f']"
8875,"##bho
","['#', '#', 'b', '##ho']"
8876,"isas
","['isa', '##s']"
8877,"wod
","['wo', '##d']"
8878,"##lli
","['#', '#', 'll', '##i']"
8879,"yo
",['yo']
8880,"lowcycle
","['low', '##cycle']"
8881,"wirewrap
","['wire', '##wr', '##ap']"
8882,"vos
","['vo', '##s']"
8883,"binder
","['bind', '##er']"
8884,"nanorods
","['nano', '##rod', '##s']"
8885,"##cos
","['#', '#', 'co', '##s']"
8886,"lh
","['l', '##h']"
8887,"standort
","['stand', '##ort']"
8888,"arg
","['ar', '##g']"
8889,"##awa
","['#', '#', 'aw', '##a']"
8890,"distortions
","['distortion', '##s']"
8891,"##istic
","['#', '#', 'ist', '##ic']"
8892,"##gp
","['#', '#', 'gp']"
8893,"arrived
",['arrived']
8894,"subdivid
","['sub', '##di', '##vid']"
8895,"dun
",['dun']
8896,"banks
",['banks']
8897,"##nag
","['#', '#', 'na', '##g']"
8898,"deviate
","['devi', '##ate']"
8899,"ord
","['or', '##d']"
8900,"illustrations
",['illustrations']
8901,"gui
",['gui']
8902,"resume
",['resume']
8903,"notation
",['notation']
8904,"##zahl
","['#', '#', 'za', '##hl']"
8905,"##bd
","['#', '#', 'b', '##d']"
8906,"safely
",['safely']
8907,"bees
",['bees']
8908,"##yos
","['#', '#', 'yo', '##s']"
8909,"tous
","['to', '##us']"
8910,"mini
",['mini']
8911,"plo
","['pl', '##o']"
8912,"relax
",['relax']
8913,"##specific
","['#', '#', 'specific']"
8914,"ker
","['ke', '##r']"
8915,"ingots
","['ing', '##ots']"
8916,"détecteur
","['detect', '##eur']"
8917,"ligament
",['ligament']
8918,"ket
","['ke', '##t']"
8919,"aar
","['aa', '##r']"
8920,"kr
","['k', '##r']"
8921,"##num
","['#', '#', 'nu', '##m']"
8922,"cca
","['cc', '##a']"
8923,"##zd
","['#', '#', 'z', '##d']"
8924,"##hne
","['#', '#', 'h', '##ne']"
8925,"##betrieb
","['#', '#', 'bet', '##rie', '##b']"
8926,"assimilation
",['assimilation']
8927,"différents
","['different', '##s']"
8928,"encouraging
",['encouraging']
8929,"irreversible
","['ir', '##re', '##vers', '##ible']"
8930,"métallique
","['metal', '##li', '##que']"
8931,"unalloyed
","['una', '##llo', '##yed']"
8932,"beneath
",['beneath']
8933,"fiihrt
","['fi', '##ih', '##rt']"
8934,"sulfide
","['sul', '##fide']"
8935,"funnel
",['funnel']
8936,"swirl
",['swirl']
8937,"complementary
",['complementary']
8938,"panigrahi
","['pan', '##ig', '##rah', '##i']"
8939,"disagreement
",['disagreement']
8940,"weise
","['wei', '##se']"
8941,"valley
",['valley']
8942,"annuli
","['ann', '##uli']"
8943,"verlag
",['verlag']
8944,"hotleg
","['hot', '##leg']"
8945,"kal
","['ka', '##l']"
8946,"distorted
",['distorted']
8947,"newly
",['newly']
8948,"critically
",['critically']
8949,"rocket
",['rocket']
8950,"esser
","['es', '##ser']"
8951,"furnaces
","['furnace', '##s']"
8952,"##unn
","['#', '#', 'un', '##n']"
8953,"masse
","['mass', '##e']"
8954,"preferentially
","['prefer', '##ential', '##ly']"
8955,"voll
","['vol', '##l']"
8956,"##nq
","['#', '#', 'n', '##q']"
8957,"mpe
","['mp', '##e']"
8958,"diverse
",['diverse']
8959,"ari
",['ari']
8960,"nao
","['na', '##o']"
8961,"##uis
","['#', '#', 'ui', '##s']"
8962,"##enne
","['#', '#', 'en', '##ne']"
8963,"mop
","['mo', '##p']"
8964,"##ury
","['#', '#', 'ur', '##y']"
8965,"erwarten
","['er', '##wart', '##en']"
8966,"tg
","['t', '##g']"
8967,"##bedingungen
","['#', '#', 'bed', '##ing', '##ungen']"
8968,"##sst
","['#', '#', 'ss', '##t']"
8969,"yon
","['yo', '##n']"
8970,"things
",['things']
8971,"spt
","['sp', '##t']"
8972,"fft
","['ff', '##t']"
8973,"translation
",['translation']
8974,"##shell
","['#', '#', 'shell']"
8975,"fibers
",['fibers']
8976,"stainlesssteel
","['stainless', '##ste', '##el']"
8977,"vast
",['vast']
8978,"bull
",['bull']
8979,"##rre
","['#', '#', 'rr', '##e']"
8980,"chromatograph
","['ch', '##rom', '##ato', '##graph']"
8981,"reducers
","['reduce', '##rs']"
8982,"##iin
","['#', '#', 'ii', '##n']"
8983,"uss
",['uss']
8984,"##hz
","['#', '#', 'hz']"
8985,"atte
","['at', '##te']"
8986,"budapest
",['budapest']
8987,"expulsion
",['expulsion']
8988,"incipient
","['inc', '##ip', '##ient']"
8989,"vortices
","['vo', '##rti', '##ces']"
8990,"methodologies
","['method', '##ologies']"
8991,"stoppage
","['stop', '##page']"
8992,"bengal
",['bengal']
8993,"david
",['david']
8994,"##clad
","['#', '#', 'clad']"
8995,"##ras
","['#', '#', 'ras']"
8996,"tilt
",['tilt']
8997,"casks
","['cas', '##ks']"
8998,"nanoscale
","['nano', '##sca', '##le']"
8999,"radiator
","['ra', '##dia', '##tor']"
9000,"foregoing
","['fore', '##going']"
9001,"closing
",['closing']
9002,"##utt
","['#', '#', 'ut', '##t']"
9003,"licikci
","['li', '##ci', '##k', '##ci']"
9004,"viewpoint
",['viewpoint']
9005,"sloshing
","['sl', '##oshi', '##ng']"
9006,"envisaged
","['en', '##vis', '##aged']"
9007,"jeweil
","['jew', '##eil']"
9008,"biindel
","['bi', '##ind', '##el']"
9009,"theta
",['theta']
9010,"cmpo
","['cm', '##po']"
9011,"yue
",['yue']
9012,"lying
",['lying']
9013,"gitter
","['gi', '##tter']"
9014,"rsi
","['rs', '##i']"
9015,"hit
",['hit']
9016,"##ole
","['#', '#', 'ole']"
9017,"aluminide
","['al', '##umi', '##ni', '##de']"
9018,"economically
",['economically']
9019,"pa
",['pa']
9020,"##zey
","['#', '#', 'ze', '##y']"
9021,"marginally
","['marginal', '##ly']"
9022,"##cv
","['#', '#', 'cv']"
9023,"##cse
","['#', '#', 'cs', '##e']"
9024,"fron
","['fr', '##on']"
9025,"dosis
","['dos', '##is']"
9026,"team
",['team']
9027,"##exposed
","['#', '#', 'exposed']"
9028,"onn
","['on', '##n']"
9029,"deliver
",['deliver']
9030,"couples
",['couples']
9031,"jay
",['jay']
9032,"##eyy
","['#', '#', 'e', '##y', '##y']"
9033,"ligands
","['ligand', '##s']"
9034,"fy
","['f', '##y']"
9035,"##cb
","['#', '#', 'cb']"
9036,"##metp
","['#', '#', 'met', '##p']"
9037,"##physics
","['#', '#', 'physics']"
9038,"filtres
","['fi', '##lt', '##res']"
9039,"tray
",['tray']
9040,"##rv
","['#', '#', 'rv']"
9041,"##sses
","['#', '#', 'ss', '##es']"
9042,"cube
",['cube']
9043,"##tag
","['#', '#', 'tag']"
9044,"##pri
","['#', '#', 'pri']"
9045,"corr
","['co', '##rr']"
9046,"kgm
","['kg', '##m']"
9047,"tenn
","['ten', '##n']"
9048,"zot
","['z', '##ot']"
9049,"sprayed
",['sprayed']
9050,"grades
",['grades']
9051,"audit
",['audit']
9052,"rh
","['r', '##h']"
9053,"##feld
","['#', '#', 'fe', '##ld']"
9054,"aga
","['ag', '##a']"
9055,"ink
",['ink']
9056,"dum
","['du', '##m']"
9057,"neighbour
",['neighbour']
9058,"##perature
","['#', '#', 'per', '##at', '##ure']"
9059,"assemblage
","['ass', '##em', '##bla', '##ge']"
9060,"fulfill
",['fulfill']
